Title,KM Driven,Fuel,Transmission,Price,Old Price,Savings,Location,Image,Car Link
2016 Maruti Baleno 1.2 Delta,"57,500 kms",Petrol,Manual,₹4.99 Lakh,,,"Shaniwar Peth, Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/used-car-details/used-Maruti-baleno-12-delta-cars-Pune_efe2a354-dceb-42e8-bb8d-5760fbd013b9.htm
2022 Maruti Ciaz Alpha BSVI,"49,800 kms",Petrol,Manual,₹7.70 Lakh,,,"Moshi, Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/used-car-details/used-Maruti-ciaz-alpha-bsvi-cars-Pune_acae49fc-8607-4521-9d45-0b3b105654bf.htm?adId=15729&adType=41
2015 Hyundai i20 Asta 1.2,"60,175 kms",Petrol,Manual,₹4.25 Lakh,₹4.50 Lakh,"(Save ₹24,988)","Thathawade, Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/buy-used-car-details/used-Hyundai-i20-asta-12-cars-Pune_f4ff6595-ff8d-4583-9dfa-71ac5cf8b5ff.htm
2015 Hyundai Verna 1.6 SX VTVT (O),"72,000 kms",Petrol,Manual,₹4.50 Lakh,,,"Khondhwa KH, Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/used-car-details/used-Hyundai-verna-16-sx-vtvt-o-cars-Pune_8d4c4c1c-b720-4acc-ad27-56feb09e83cc.htm
2016 Maruti Swift Dzire VXI,"60,045 kms",Petrol,Manual,₹4.36 Lakh,,,"Wakad, Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/buy-used-car-details/used-Maruti-swift-dzire-vxi-cars-Pune_3ec05b9f-53a3-4c7a-b857-cb12b680c90d.htm
2005 Skoda Octavia Ambiente 1.9 TDI MT,"30,000 kms",Diesel,Manual,₹2 Lakh,,,"Viman Nagar, Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/used-car-details/used-Skoda-octavia-ambiente-19-tdi-mt-cars-Pune_dabe6adb-3adf-4d0a-b0ab-f803142b6f29.htm?adId=14659&adType=41
2013 Maruti Swift LXi,"1,06,133 kms",Petrol,Manual,₹3.11 Lakh,,,"Wakad, Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/buy-used-car-details/used-Maruti-swift-lxi-cars-Pune_d9714971-6ac4-4a5d-a4f8-16d9044f84e8.htm
2022 Tata Tiago XZA Plus AMT BSVI,"14,500 kms",Petrol,Automatic,₹6.50 Lakh,₹6.75 Lakh,"(Save ₹25,000)","Hadapsar, Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/used-car-details/used-Tata-tiago-xza-plus-amt-bsvi-cars-Pune_36283d94-de39-4d3f-ae0a-f85bf2853ade.htm
2017 Tata Tiago 1.2 Revotron XZA,"23,175 kms",Petrol,Automatic,₹3.95 Lakh,,,"Wakad, Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/buy-used-car-details/used-Tata-tiago-12-revotron-xza-cars-Pune_8dd7e0ba-2485-4118-95e0-3a2d08f275bc.htm
2016 Renault KWID RXT,"50,000 kms",Petrol,Manual,₹1.85 Lakh,,,"Bibvewadi, Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/used-car-details/used-Renault-kwid-rxt-cars-Pune_1457f853-f740-48dc-8a55-a24da38a600e.htm?adId=15322&adType=41
2023 Maruti Alto K10 VXI S-CNG,"21,192 kms",CNG,Manual,₹4.81 Lakh,₹4.89 Lakh,"(Save ₹8,000)","Hadapsar, Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/buy-used-car-details/used-Maruti-alto-k10-vxi-s-cng-cars-Pune_3250c185-aaa4-485a-91cb-a14dc5c45799.htm
2015 Maruti Swift Dzire ZDI,"52,000 kms",Diesel,Manual,₹5.45 Lakh,,,"Rahatani, Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/used-car-details/used-Maruti-swift-dzire-zdi-cars-Pune_c1255321-212c-4693-8e8d-011be9527cf8.htm
2017 Hyundai Creta 1.6 EX Petrol,"60,199 kms",Petrol,Manual,₹7.90 Lakh,,,"Pashan, Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/buy-used-car-details/used-Hyundai-creta-16-ex-petrol-cars-Pune_ea03d8d1-5aa0-4c4e-a7e2-3663c584023c.htm
2016 Toyota Innova 2.5 ZX Diesel 7 Seater,"99,000 kms",Diesel,Manual,₹16.75 Lakh,,,"Andheri West, Mumbai",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/used-car-details/used-Toyota-innova-25-zx-diesel-7-seater-cars-Mumbai_3a9087f2-2fcd-48a7-b350-ee3afce5b870.htm?adId=13056&adType=41
2015 Maruti Swift Dzire ZXi,"49,571 kms",Petrol,Manual,₹4.61 Lakh,₹4.67 Lakh,"(Save ₹6,000)","Hadapsar, Pune",https://stimg.cardekho.com/pwa/img/spacer3x2.png,https://www.cardekho.com/buy-used-car-details/used-Maruti-swift-dzire-zxi-cars-Pune_a1bc1f77-b581-43ce-b67d-20897fbd8aa2.htm
2023 Hyundai Venue SX,"20,110 kms",Petrol,Manual,₹9.95 Lakh,,,"Hadapsar, Pune",https://images10.gaadi.com/usedcar_image/4759187/original/2f74e66b4cff71d129bf5c6e648ce15e.JPG?imwidth=640,https://www.cardekho.com/buy-used-car-details/used-Hyundai-venue-sx-cars-Pune_1299ba22-efd8-4848-a72f-ab2454b1f3aa.htm
2022 Honda City VX MT,"31,929 kms",Petrol,Manual,₹10.73 Lakh,,,"Wagholi, Pune",https://images10.gaadi.com/usedcar_image/4934018/original/cfd105fe8663a1c1e1a8f38a84f28ad9.JPG?imwidth=640,https://www.cardekho.com/buy-used-car-details/used-Honda-city-vx-mt-cars-Pune_86194a96-a37e-43e6-8e41-7deedb8649e2.htm
2016 Maruti Celerio ZXI,"91,208 kms",Petrol,Manual,₹3.65 Lakh,,,"Wagholi, Pune",https://images10.gaadi.com/usedcar_image/4909388/original/48aa69043d49a48fcbe7c8454ae23aaf.JPG?imwidth=640,https://www.cardekho.com/buy-used-car-details/used-Maruti-celerio-zxi-cars-Pune_d6d8f6c6-9f47-4669-80a1-169ab4af8fe7.htm
